name,location,cuisines,rate,approx_cost(for two people)
New Madhuram,Marathahalli,"Andhra, Biryani",3.4 /5,250
McDonald's,Marathahalli,"Fast Food, Burger, Beverages, Cafe, Desserts",3.3 /5,500
Office Lunch Box,Whitefield,"Andhra, North Indian",3.6 /5,200
Sweet Chariot,Marathahalli,"Bakery, Fast Food",2.8 /5,500
Arabian Delight,Marathahalli,"Arabian, North Indian, Chinese",,800
Indian Chaps House,Marathahalli,North Indian,3.7 /5,400
Delice - Novotel,Marathahalli,"Desserts, Bakery",3.8 /5,800
Amchoor,Marathahalli,"North Indian, Beverages",3.8 /5,250
Palar Restaurant,Marathahalli,"Andhra, North Indian",3.7 /5,700
The Iris Kafe,Marathahalli,"Cafe, South Indian, Continental, Beverages",,300
Wok With Chung,Marathahalli,"Chinese, Thai",3.8 /5,"1,000"
The Mint Resto Bar,Marathahalli,"North Indian, Chinese, Andhra",2.6 /5,"1,000"
Mandya Umesh Nati Style Hotel,Marathahalli,South Indian,3.4 /5,350
Biryani Lakhnawi,Marathahalli,"Lucknowi, Biryani",3.6 /5,500
Bengaluru Square,Marathahalli,"Chinese, Beverages, Andhra",3.5 /5,300
Kerala Kitchen,Marathahalli,"Kerala, North Indian, Chinese, Kebab",3.4 /5,550
Waffle Square,Marathahalli,"Desserts, Beverages, Ice Cream",3.9 /5,300
Sree Saravana Bhavan,Marathahalli,South Indian,3.2 /5,400
Ammi's Biryani,Marathahalli,"Biryani, North Indian",2.1 /5,500
Prajwal The Restaurant,Marathahalli,"North Indian, Chinese, Beverages",3.5 /5,300
Rayan's Biryani,Marathahalli,"Andhra, Biryani, Beverages, Kebab",3.6 /5,450
Flavours24,Marathahalli,"Desserts, Ice Cream",3.3 /5,250
Coffee Mug Cafe,Marathahalli,"Cafe, Chinese, North Indian, Fast Food",3.7 /5,400
MK Dabbawala,Marathahalli,North Indian,3.2 /5,400
Aaha Andhra,Marathahalli,"Andhra, Biryani, North Indian",3.4 /5,900
The Rice Company,Marathahalli,North Indian,NEW,500
Chatpata Chaat Station,Marathahalli,"North Indian, Street Food, Chinese",3.5 /5,500
Apple Cafe,Marathahalli,"Beverages, Fast Food",3.3 /5,300
Just Bake,Marathahalli,Bakery,3.7 /5,400
Jagannath Hotel,Marathahalli,"North Indian, Bengali",,400
repEAT Hub,Marathahalli,"North Indian, South Indian, Juices",,200
Supreme Biryani,East Bangalore,Biryani,,500
Onesta,Marathahalli,"Pizza, Cafe, Italian",4.6 /5,600
Uma's Home Food,Marathahalli,Healthy Food,3.6 /5,300
Kichukkhon,Marathahalli,"Bengali, Oriya",2.9 /5,250
Home Food Punjabi Dhabha,Marathahalli,"North Indian, Chinese",3.1 /5,350
Laziz,Marathahalli,"North Indian, Chinese",3.9 /5,300
Andhra Box,Marathahalli,"Andhra, Biryani, Chinese",3.2 /5,400
New Aroma,Marathahalli,Chinese,3.3 /5,250
Lord of Combos,Marathahalli,North Indian,3.3 /5,500
FixMyNutrition,Marathahalli,"Healthy Food, Asian, Continental",,500
Tintin Da Dhaba,Marathahalli,North Indian,3.4 /5,500
Famous Bawarchi,Marathahalli,"Biryani, Kebab",,400
Balaji Abhiruchi Multicuisine Restaurant,Marathahalli,"South Indian, North Indian, Chinese",3.4 /5,550
Indian Tasty Kitchen,Marathahalli,"South Indian, North Indian, Chinese",,400
Patiala Zone,Marathahalli,"North Indian, Mughlai",3.1 /5,400
Kerala Mess,Marathahalli,"Kerala, Chinese, South Indian",3.2 /5,300
Amritsari Haveli,Marathahalli,"North Indian, Chinese",,400
Curry Box,Marathahalli,North Indian,,300
ChinaMinaMo,Marathahalli,"Chinese, Continental",,350
Rajwadi,Brookefield,"North Indian, Street Food",3.6 /5,500
Hara Bhara Box,Marathahalli,North Indian,,300
Baba Bhature,Marathahalli,North Indian,3.7 /5,200
Hello Curry,Marathahalli,"North Indian, Biryani, Mughlai",2.8 /5,600
Mayuri Spices,Marathahalli,"Andhra, Chinese, North Indian",,800
Punjabi Paratha And Lassi,Marathahalli,North Indian,,300
Eat Eroo Bombay Vada Pav & Chats,Marathahalli,"Street Food, Fast Food",,200
Ofoodz,Marathahalli,North Indian,,300
Kinara Tiffany,Marathahalli,South Indian,,200
Copper Kitchen,Marathahalli,"North Indian, Chinese",,500
Cake Mane,Marathahalli,Bakery,,400
Krishna Bhojan,Marathahalli,North Indian,,300
Kerala Cafe,Marathahalli,Kerala,,300
99 Udupi Veg,Marathahalli,"South Indian, North Indian",,300
FIFA Cafe,Marathahalli,"Cafe, Beverages, Fast Food",3.2 /5,300
Aahar,Marathahalli,North Indian,,500
Patel Eat,Marathahalli,"North Indian, South Indian",,200
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Delight,Marathahalli,"Cafe, Italian",3.2 /5,400
RICE BAR,Marathahalli,"North Indian, Biryani",3.0 /5,500
Spice Affair,Marathahalli,"North Indian, Chinese",3.6 /5,600
Sapfresh,Marathahalli,Beverages,,150
Deccan Spice,Marathahalli,"Andhra, North Indian",3.4 /5,600
Punjabi Tadka,Marathahalli,"North Indian, Chinese",2.3 /5,400
Petit Crumbs,Marathahalli,"Bakery, Desserts",,300
Rawalpindi Express,Marathahalli,North Indian,3.4 /5,300
Sweet Alley,Marathahalli,Desserts,3.4 /5,400
Rolls On Wheels,Marathahalli,"Fast Food, Rolls, Momos",3.5 /5,300
Sri Venkateswara Restaurant,Marathahalli,"Andhra, Chinese, South Indian",,400
Eat Eroo - Bombay Vada Pav,Marathahalli,"Street Food, Maharashtrian",3.4 /5,200
Vandana Foods,Marathahalli,Andhra,,250
Indian Highway Restaurant,Marathahalli,"North Indian, Chinese, Fast Food",3.2 /5,400
Bangalore Cakes,Marathahalli,Bakery,,250
Midnight Foodie,Marathahalli,North Indian,,250
Magic Paratha Box,Marathahalli,North Indian,,400
Delhi To Hotel,Marathahalli,"North Indian, Chinese",,350
Hotel Annapoorneswari,Marathahalli,South Indian,,250
Chawla's 2 online.com,Marathahalli,"North Indian, Chinese",,900
Friends Food Corner,Marathahalli,"South Indian, Andhra, Biryani",,300
The Biryani Treat,Marathahalli,"Biryani, North Indian, Desserts",,400
Mandya Naati Style Hotel,Marathahalli,South Indian,3.3 /5,300
Ghar Ki Biryani,Marathahalli,Biryani,,200
Pakwan Family Restaurant,Marathahalli,"North Indian, Chinese",3.4 /5,400
BBxR,Marathahalli,"Biryani, Kebab",3.5 /5,400
Pratikshya Upahaar,Marathahalli,"Oriya, Bengali, North Indian, South Indian",,250
Best Biryani,Marathahalli,"North Indian, Biryani, Desserts",,600
Navras,Brookefield,"Beverages, Desserts",,250
Aahar Cafe,Marathahalli,South Indian,,100
Spice Treat,Marathahalli,"North Indian, South Indian",NEW,400
La Ola,Marathahalli,"Fast Food, Chinese, North Indian",NEW,300
Minuit 12,Marathahalli,"North Indian, Chinese, Fast Food",NEW,350
Sultan's Biryani,Marathahalli,"Biryani, North Indian",3.0 /5,700
Sri Krishnar Sweets,Marathahalli,"Street Food, Mithai",3.3 /5,150
Nirala's Home Kitchen,Marathahalli,"Bihari, North Indian",NEW,300
BBQ King,Marathahalli,"Fast Food, Chinese, Burger, Hot dogs",3.4 /5,400
Disha's Cake Boutique,Marathahalli,Bakery,,400
Desi Vibes,Marathahalli,North Indian,2.9 /5,300
Vishwaas Take Away,Marathahalli,"North Indian, Chinese",3.2 /5,250
Spice Root,Marathahalli,"Chinese, North Indian",,400
Three Side Square,Marathahalli,"European, Asian, North Indian",,400
Ruchi Restaurant,Marathahalli,"Andhra, South Indian",,600
SLV Spice Up,Marathahalli,"South Indian, North Indian, Chinese",,400
Foodizclub,Marathahalli,"North Indian, Continental, Mughlai, Andhra",,400
Choco Fudge,Marathahalli,"Beverages, Fast Food, Ice Cream, Sandwich",,250
Cafe Knight,Marathahalli,"Fast Food, North Indian",,200
Godhavari,Marathahalli,"Seafood, Andhra",3.3 /5,"1,000"
Fire & Slice,Marathahalli,North Indian,,400
Naati house,Marathahalli,"South Indian, North Indian, Chinese",,
Burritto,Marathahalli,Chinese,,200
Naati Houz,Marathahalli,South Indian,,300
Kolkata Famous Kati Rolls,Marathahalli,"Fast Food, Rolls",,100
Chef Baker's,Marathahalli,"Bakery, Desserts, Cafe",,600
Rahar Momo & Cane,Marathahalli,Fast Food,,200
Muscat Cafe,Marathahalli,"Fast Food, Burger",,200
De Purple Cafe,Marathahalli,"Fast Food, Beverages",,300
Ghar Ka Chulha,Marathahalli,North Indian,,150
Ambur Hot Dum Biryani,Marathahalli,"Biryani, Chinese",3.4 /5,300
Friends Restaurant,Marathahalli,"Bengali, North Indian",,250
Sonu Ki Sweety Da Dhabha,Marathahalli,North Indian,,300
Testy Samosa Center,Marathahalli,Street Food,,150
SV Bakery,Marathahalli,Fast Food,,200
Ghar Ka Swaad,Marathahalli,North Indian,,300
Alankar Restaurant,Marathahalli,"South Indian, North Indian, Chinese",NEW,800
Paratha Engineer,Marathahalli,"North Indian, Chinese",NEW,200
Chattorey - The Family Restaurant,Marathahalli,"North Indian, Chinese, South Indian, Rolls",3.4 /5,400
Kriti Dugar,Marathahalli,Desserts,3.4 /5,200
Faasos,Marathahalli,"North Indian, Biryani, Fast Food",3.9 /5,500
Dunkin' Donuts,Brookefield,"Desserts, Cafe, Beverages, Burger, Fast Food",4.0 /5,550
Brew and Barbeque - A Microbrewery Pub,Marathahalli,"Continental, North Indian, BBQ, Steak",4.6 /5,"1,400"
Al-Bek,"Varthur Main Road, Whitefield","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",3.7 /5,300
Ganesh Bhavan,Brookefield,South Indian,4.0 /5,200
Abhiruchi Andhra Mess,Whitefield,"Andhra, Biryani, South Indian",3.2 /5,300
Hongkong Garden,Kaggadasapura,"Chinese, Thai, Seafood, Momos",3.9 /5,500
Punjabi Twist,Marathahalli,North Indian,4.2 /5,300
Happy Kitchen,Marathahalli,"North Indian, Chinese",3.8 /5,350
Sidewalk - The Garden Bar,Marathahalli,"North Indian, Continental, Chinese, Thai",4.4 /5,"1,300"
Chaat Street,"Varthur Main Road, Whitefield","Street Food, North Indian",4.1 /5,250
KFC,Marathahalli,"Burger, Fast Food",3.9 /5,450
Beijing Bites,"Varthur Main Road, Whitefield","Chinese, Thai, Momos",3.4 /5,400
Radha Rani,Brookefield,"Bengali, North Indian, Chinese",3.4 /5,400
Chickpet Donne Biryani House,Marathahalli,"Biryani, South Indian, Fast Food",3.7 /5,600
WOW MOMO,Marathahalli,"Tibetan, Momos",3.4 /5,300
Biryani Mane,Marathahalli,"North Indian, Biryani",3.6 /5,600
Noibidya,Marathahalli,"North Indian, Bengali",3.5 /5,400
Nizam's Biryani House,Marathahalli,"North Indian, Biryani",3.9 /5,"1,000"
Cake Menu,Marathahalli,Bakery,3.5 /5,400
Bombay Kulfi,Marathahalli,"Desserts, Ice Cream",3.8 /5,150
WAH MOMO,"ITPL Main Road, Whitefield",Tibetan,,300
Le Charcoal,Brookefield,"Arabian, Lebanese, Mughlai, North Indian, BBQ, Chinese",4.1 /5,600
Galito's,Whitefield,"African, Burger",4.6 /5,"1,000"
Delhi Walle,Marathahalli,"North Indian, Street Food",3.9 /5,300
Lassi Corner,Marathahalli,"Beverages, Desserts",3.7 /5,300
Basmati Bar & Restaurant,Marathahalli,"Biryani, Andhra, North Indian, Chinese",3.8 /5,800
Davanagere Benne Dosa Hotel,Kaggadasapura,South Indian,3.1 /5,150
Crunch Pizzas,Marathahalli,"Italian, Pizza",2.8 /5,600
Nandighosha,Marathahalli,"Bengali, Seafood, Oriya, North Indian, Biryani",3.6 /5,400
Coastal Hub,Whitefield,"Kerala, Seafood, Chinese",4.0 /5,700
Raj Donne Biriyani,Marathahalli,"South Indian, Biryani",3.5 /5,450
Suryawanshi,Whitefield,"Maharashtrian, Seafood",4.1 /5,700
9D Foods,Marathahalli,"North Indian, Street Food",4.1 /5,400
Estaa Sweets,Whitefield,Mithai,3.4 /5,300
The Fat Chef,Whitefield,"Japanese, Italian, American, Asian, North Indian, Steak",4.1 /5,"1,400"
Bloomsbury's Global Kitchen & Bakehouse,Whitefield,"American, Cafe, Continental, French, Burger, Mexican, Desserts, Pizza",4.5 /5,900
The Egg Factory,Whitefield,"Continental, American",4.0 /5,750
AKS Family Dhaba And Restaurant,Marathahalli,"North Indian, Mughlai, South Indian",3.6 /5,500
Bahar Cafe,Marathahalli,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",4.0 /5,750
Kabab Souq,Thippasandra,"North Indian, Chinese, Arabian, BBQ, Middle Eastern",3.8 /5,400
Refresh,Brookefield,"Cafe, Beverages",3.2 /5,500
Sri Udupi Park,Marathahalli,"South Indian, North Indian, Chinese, Beverages",3.7 /5,500
Mani's Dum Biryani,Marathahalli,"Biryani, Andhra",4.0 /5,750
Namma Madurai,Kaggadasapura,South Indian,3.0 /5,200
Rayalaseema Chefs,Marathahalli,"North Indian, Biryani, Andhra, Chinese",3.9 /5,800
Biryani Paradise,Whitefield,"Andhra, Biryani",3.8 /5,700
Makers of Milkshakes,Marathahalli,Beverages,4.0 /5,300
Bangaliana,Marathahalli,Bengali,3.6 /5,600
Litti House,Brookefield,"North Indian, Bihari, Rajasthani",3.9 /5,300
Kalla's Restaurant,Marathahalli,"North Indian, Juices",3.6 /5,200
Tim Cafe,Marathahalli,"Cafe, Sandwich, Beverages",3.6 /5,250
Sherlock's Pub,Brookefield,"Continental, North Indian, Chinese",3.2 /5,"1,500"
Float,Marathahalli,"North Indian, Japanese",4.4 /5,"1,500"
Leon Grill,Marathahalli,"Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",4.1 /5,450
Koylas,Brookefield,"Kebab, Mughlai, Biryani",3.0 /5,400
Lassi Shop,Marathahalli,"Beverages, Ice Cream",3.7 /5,200
Chefactory Gold by Flechazo,Whitefield,"North Indian, Biryani",3.7 /5,700
R R Noodles Express,Marathahalli,Chinese,3.6 /5,300
Biryani Feast,Marathahalli,"Biryani, North Indian, Chinese",2.9 /5,600
Chulha Chauki Da Dhaba,Marathahalli,North Indian,4.1 /5,"1,000"
Amaravati - Pure Veg Restaurant,Kaggadasapura,"South Indian, North Indian, Chinese",3.5 /5,350
eat.fit,Whitefield,"Healthy Food, North Indian, Biryani, Continental, Desserts",4.4 /5,500
UBQ By Barbeque Nation,Marathahalli,"North Indian, BBQ, Biryani, Kebab",3.2 /5,450
Sukhi Bhava,Marathahalli,"Andhra, Chinese, Biryani",3.6 /5,300
Grill Hut,Kaggadasapura,"Fast Food, Rolls",3.6 /5,350
Akshara,Marathahalli,"South Indian, Kerala, Andhra",4.0 /5,"1,000"
Sri Rajalakshmi Sweets,Marathahalli,"Mithai, Street Food",3.7 /5,300
Foxtrot,Marathahalli,"North Indian, Chinese, Continental, Momos",4.4 /5,"1,200"
Just Shawarma,Brookefield,Arabian,3.8 /5,300
BIB-Breakfast in the Box,Whitefield,"American, Sandwich",3.8 /5,600
Cupcake Bliss,Brookefield,Bakery,3.3 /5,250
Chai Point,Marathahalli,,,200
Kababji Cafe,"Varthur Main Road, Whitefield","Biryani, Rolls, Middle Eastern, Arabian",,300
Nagas,"Varthur Main Road, Whitefield","Andhra, Hyderabadi, North Indian",2.9 /5,300
Omleterian,"Varthur Main Road, Whitefield","American, Continental",,200
Deli Chats and Sweets,Marathahalli,"Street Food, Mithai",4.1 /5,200
Estaa Sweets,Marathahalli,"Mithai, Desserts",3.3 /5,300
Mugs N Burgers,Brookefield,"Burger, Juices, Beverages, Fast Food, Cafe, Chinese, Coffee",4.0 /5,600
nu.tree,Whitefield,"North Indian, Healthy Food, Beverages",4.3 /5,400
Hyderabad Chefs,Marathahalli,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",4.0 /5,800
Lion King,Kaggadasapura,"Chinese, Momos",3.8 /5,250
Absolute Shawarma,Marathahalli,Lebanese,3.8 /5,150
Barkaas,Marathahalli,"Arabian, Biryani, Desserts, Beverages, Salad",4.2 /5,"1,000"
Simhapuri Kitchen,Brookefield,"Andhra, Biryani, Chinese, South Indian",4.0 /5,800
Palak Ande Ka Funda,Brookefield,North Indian,3.2 /5,300
Odisha Platter,Marathahalli,Oriya,3.8 /5,350
Desi Bites,Marathahalli,North Indian,3.9 /5,250
@ Biryani Central,Marathahalli,"Biryani, Mughlai, Chinese",2.7 /5,550
Tiffin Inn's,Marathahalli,South Indian,3.7 /5,250
ToothSome,Kaggadasapura,"North Indian, Bengali, Chinese",,400
Biriyani Zone,Whitefield,"Biryani, North Indian, Chinese, Seafood",3.9 /5,800
Park N Eat,Marathahalli,"Chinese, North Indian",3.7 /5,300
Cafe Xtasi,"Varthur Main Road, Whitefield",Pizza,3.0 /5,
Cake Dilim,Kaggadasapura,"Bakery, Fast Food, Desserts",3.3 /5,400
Longlive Pizza,Kaggadasapura,"Pizza, Fast Food",3.2 /5,400
Cream Factory,Kaggadasapura,Desserts,3.9 /5,400
Kritunga Restaurant,Whitefield,"Andhra, Biryani, North Indian, Chinese",3.7 /5,650
Kettle & Kegs,Marathahalli,"Tea, Beverages",,200
Kerala Restaurant,Whitefield,"Kerala, Biryani",3.4 /5,450
Real Fresh Dosa Corner,Brookefield,South Indian,4.2 /5,200
Tall Blonde French,Brookefield,Fast Food,3.6 /5,400
Lashiwalla,Marathahalli,"Beverages, Juices",2.8 /5,100
Momo Mania,Brookefield,"Momos, Fast Food",3.8 /5,300
Gowri Gajanand Sweets,Brookefield,"Mithai, Street Food",4.0 /5,300
Sri Sai Bhavan,Brookefield,South Indian,3.6 /5,300
Chai Mania,Marathahalli,"Cafe, Tea, Beverages",2.8 /5,300
Shake It Off,Brookefield,"Beverages, Fast Food",4.0 /5,600
iCloud Irany Cafe,Brookefield,South Indian,,120
Madhu's Tandoori Kitchen,Marathahalli,"North Indian, Chinese, Biryani",3.0 /5,350
New Tandoori Point,Marathahalli,"North Indian, Chinese",2.4 /5,600
East Delicious,Marathahalli,"Chinese, Thai",4.0 /5,600
Rolls Plaza,Marathahalli,"Fast Food, Chinese, Rolls",3.7 /5,200
Mirchi Bites- Spice Heaven,Marathahalli,"Hyderabadi, Biryani",2.7 /5,650
Habib Shaheb Kolkatta Katti Rolls,Whitefield,"Rolls, Chinese",3.3 /5,200
Wat-a-Biryani,Marathahalli,Biryani,,500
PK Dhaba,Brookefield,"North Indian, Fast Food, Beverages",,250
The Belgian Waffle Company,Brookefield,Desserts,4.0 /5,250
Artinci Artisanal Ice Cream,Marathahalli,"Desserts, Ice Cream",4.2 /5,300
Dhaba Estd 1986 Delhi,Marathahalli,"BBQ, Mughlai, Biryani",4.3 /5,"1,100"
Suchithra Biryani House,Marathahalli,"Andhra, Biryani, North Indian",4.0 /5,500
Andhra Mess,Brookefield,"Andhra, Biryani, Chinese",2.8 /5,400
Waffle Stories,Marathahalli,Desserts,3.6 /5,300
Sea Pot,Marathahalli,"Seafood, North Indian",3.5 /5,800
Hind Ka Chulah,Marathahalli,"North Indian, Biryani",3.7 /5,600
Ghar Ki Rasoi,Bellandur,North Indian,3.7 /5,500
Ramdev Sagar,Brookefield,"South Indian, Chinese, Street Food",3.9 /5,250
Kesar Sweet Shop and Fast Food,Brookefield,"North Indian, South Indian, Chinese, Street Food, Mithai",4.1 /5,500
Breads and Banter,Brookefield,"Cafe, Bakery, Fast Food",4.3 /5,400
Night Diaries,Whitefield,North Indian,3.1 /5,300
Salem Kitchen,Brookefield,"Chettinad, Chinese, South Indian",3.4 /5,550
Hotel Salala,Brookefield,"North Indian, South Indian, Chinese, Biryani",3.6 /5,400
Kitchen Of Joy,Kaggadasapura,"Bengali, North Indian, Chinese, Rolls",3.8 /5,500
Angel Mess,Kaggadasapura,South Indian,3.5 /5,200
Chai Darbaar,Thippasandra,"South Indian, Chinese, Kerala",3.8 /5,250
Dodda Mane Donne Biryani,Brookefield,"North Indian, Mughlai, Chinese",3.2 /5,400
Treat Kitchen,Thippasandra,"North Indian, Chinese, Seafood",3.8 /5,400
Mou Tushi Family Restaurant,Brookefield,"North Indian, Chinese",3.7 /5,300
Hotel Malabar,Kaggadasapura,Kerala,3.8 /5,250
Karma Foods,Brookefield,"North Indian, Chinese",3.2 /5,250
Udupi Delux,Brookefield,"South Indian, North Indian, Chinese",2.6 /5,400
Rekha Restaurant,Brookefield,"North Indian, Chinese",3.6 /5,450
Agraharam Meal,Kaggadasapura,"North Indian, South Indian",3.7 /5,300
Desi Foodizzz,Brookefield,"North Indian, Chinese",3.7 /5,600
Sri Udupi Park,Brookefield,"South Indian, North Indian, Chinese",3.4 /5,300
Cocoa Bakes,Brookefield,"Bakery, Desserts",,300
Midas Touch,Brookefield,"Bakery, Fast Food, Desserts",3.2 /5,300
Mandya Gowdru Hotel,Brookefield,South Indian,3.3 /5,200
Venice Kerala Restaurant,Brookefield,Kerala,3.7 /5,200
Bombay Kulfis,Whitefield,Ice Cream,,200
HIGH SKY,Whitefield,"Continental, North Indian, Chinese, Arabian",3.3 /5,"1,000"
Skandas Veg Restaurant,Brookefield,"South Indian, North Indian",3.2 /5,400
Hyderabad Cuisine,"Varthur Main Road, Whitefield","Seafood, Biryani, Hyderabadi, North Indian",2.8 /5,650
Red Chilli,Brookefield,"Chinese, Thai",3.0 /5,600
Om Sweets & Fast Food,Brookefield,"North Indian, Chinese, Mithai",3.4 /5,200
Mast Kalandar,Brookefield,North Indian,2.4 /5,450
New Ambur Hot Dum Biryani,Brookefield,Biryani,3.1 /5,300
Chatpata,Brookefield,Street Food,3.2 /5,500
Andhra Spices,Brookefield,"Andhra, Chinese, South Indian",3.2 /5,400
Basaveshwara Khanavali,Brookefield,South Indian,,200
Litti Chokha Junction,Bellandur,"Bihari, Chinese",,250
Wish Pot,Whitefield,"North Indian, Continental",3.4 /5,300
Curries & Pickles,Brookefield,"Andhra, Biryani, Chinese",,400
Renees Cake Art,"Varthur Main Road, Whitefield","Bakery, Desserts",,400
Mom's Flavor,Marathahalli,North Indian,,400
Kitchen Stories,"Varthur Main Road, Whitefield","North Indian, Bengali, South Indian",,400
Sri Ganesh Andhra Mess,Brookefield,"Andhra, Chinese",,300
The Milkshake Theory,Whitefield,"Beverages, Fast Food",,400
CocoFresh,Brookefield,Beverages,3.3 /5,300
Chirayu Biryani House,Whitefield,Biryani,,300
Delhi Spice: Home Delivery,Kaggadasapura,North Indian,,400
Wattaballz India,Whitefield,Street Food,,200
Delhi Special Fast Food,Whitefield,"Fast Food, Street Food",,200
SugarLove,Kaggadasapura,Desserts,3.5 /5,"1,000"
Nawabi Kitchen,Brookefield,"North Indian, Chinese",,600
Bon Baker,Whitefield,Desserts,3.7 /5,"1,000"
Bhama New2De,Brookefield,"North Indian, Chinese, Italian",,200
Hotel Bhuvaneshwari,Whitefield,North Indian,,350
Happy Cook,Brookefield,"North Indian, South Indian",,400
Pitta Biryani,Bellandur,Biryani,,400
Grandees Bakes & Juice,Brookefield,"Bakery, Fast Food, Juices",,250
Nirvana,Brookefield,"North Indian, Chinese",,400
A Pinch Of Magic,Whitefield,"Bakery, Desserts",,"1,000"
Comfert Foods,"ITPL Main Road, Whitefield",North Indian,,200
Big Fat Momo,Kaggadasapura,Chinese,,300
Zam Zam Biriyani Hotel,Brookefield,"North Indian, Chinese, Biryani",,400
Bangalore Food Cafe,Brookefield,"North Indian, South Indian, Chinese, Fast Food",NEW,300
The Bengal Rasoi,Kaggadasapura,Bengali,3.2 /5,350
North Wale Restaurant,Brookefield,"North Indian, Chinese",2.9 /5,800
An Egg Story,Brookefield,"Cafe, Continental, American, Italian",4.1 /5,600
Nandini Deluxe,Brookefield,"North Indian, Chinese",2.8 /5,600
Madhuban Restaurant,Marathahalli,"Bengali, Continental, Fast Food, North Indian, Seafood",NEW,500
New Pepper Pot,Marathahalli,"North Indian, Chinese",NEW,400
Sardaar Ka Chulla,Marathahalli,"North Indian, Mughlai",NEW,450
Shri Vishnu Grand,Marathahalli,"North Indian, South Indian, Chinese",3.1 /5,450
Mr. Cane,Marathahalli,Juices,,100
New Royal Treat,Marathahalli,"North Indian, Chinese",,350
Sardar Ka Chullah,Marathahalli,North Indian,3.3 /5,400
Meat and Eat,Whitefield,"Fast Food, Burger",,500
Dakshin Spice,Marathahalli,"South Indian, North Indian, Chinese, Biryani",3.8 /5,800
Moriz Restaurant,Brookefield,"Arabian, North Indian, Biryani, Chinese, Seafood",2.8 /5,750
New Food Magic,Marathahalli,"North Indian, Chinese, Biryani",3.7 /5,400
Ooty Chocolates,Whitefield,Desserts,3.6 /5,300
Pizza Hut,Marathahalli,"Pizza, Fast Food",2.6 /5,750
Uma Bhai Restaurant,Marathahalli,Oriya,3.6 /5,200
Cafe Petu,Marathahalli,"North Indian, Sandwich",3.8 /5,300
Juice Berg,Brookefield,"Beverages, Fast Food",3.8 /5,150
Kolkata Famous Katti Rolls,Marathahalli,"Fast Food, Rolls",3.4 /5,200
Flavors Restaurant,Whitefield,"North Indian, Chinese",2.9 /5,700
Delicious Cakes,Marathahalli,Bakery,3.1 /5,400
Baskin Robbins,Brookefield,"Ice Cream, Desserts",3.9 /5,250
Muscat Restaurant,Marathahalli,"North Indian, Chinese",3.0 /5,400
Curries And Pickles,Kaggadasapura,"Andhra, North Indian, Biryani",2.9 /5,350
Amaravati Authentic Andhra Restaurant,Brookefield,"Andhra, Chinese, North Indian, Biryani",3.0 /5,600
Nanda's,Marathahalli,"Andhra, North Indian, Chinese, Seafood, Biryani",3.7 /5,650
Jagannath Delicacy,Brookefield,"North Indian, Chinese",NEW,500
Yumlane,Brookefield,"Pizza, Fast Food",2.9 /5,200
Konaseema Kitchen,Marathahalli,"North Indian, Biryani, Andhra, South Indian",3.8 /5,600
Chatorezz,Marathahalli,"North Indian, Chinese",3.6 /5,250
Master Chifoo,Marathahalli,"Chinese, Thai, Momos",3.9 /5,800
Nirvana Foods,Whitefield,"South Indian, Chinese",,300
O2 Juice Bar,Marathahalli,"Juices, Fast Food",3.6 /5,200
Parrattha Ssinghh,Marathahalli,North Indian,4.1 /5,250
Dhaba Social,Brookefield,North Indian,4.0 /5,700
Cream and Fudge,Brookefield,"Ice Cream, Desserts",3.3 /5,250
Sudhir Vada Pav & Paratha Center,Marathahalli,Street Food,3.4 /5,250
99 Caffe,Brookefield,"South Indian, North Indian, Chinese",3.6 /5,250
New Udupi Upahar,Marathahalli,"Chinese, North Indian, South Indian",3.8 /5,300
WOW! Momo,Marathahalli,"Tibetan, Momos",3.6 /5,400
Kabab Magic,Marathahalli,"North Indian, Kebab, Fast Food",3.0 /5,500
HomelyDelight,Brookefield,North Indian,3.7 /5,300
Cafe Thulp,"ITPL Main Road, Whitefield","Cafe, Burger, Italian, Salad",3.6 /5,"1,000"
Ginger & Garlic,Brookefield,"South Indian, North Indian, Chinese",3.6 /5,350
Zeeshan,Marathahalli,"North Indian, Kebab, Biryani, Rolls",3.6 /5,700
Chullah Bhatti,Marathahalli,"North Indian, Chinese",4.0 /5,900
Best Of Bengal,Marathahalli,Bengali,3.8 /5,300
Costa Biryanis,East Bangalore,"Andhra, Biryani, North Indian, South Indian",3.3 /5,300
Puchkas,Marathahalli,"Street Food, North Indian",4.1 /5,200
Sankranti,Marathahalli,Andhra,3.6 /5,600
Coorg Diaries,Kaggadasapura,South Indian,3.5 /5,400
Kakaji,Marathahalli,North Indian,3.7 /5,350
Delite Chaat House,Marathahalli,"Street Food, Gujarati",3.3 /5,300
Andhra Ruchulu,Brookefield,"Andhra, North Indian, Chinese, Biryani",3.5 /5,500
South House,Brookefield,"South Indian, Biryani",4.2 /5,800
Chung Wah,Marathahalli,"Chinese, Momos, Vietnamese, Thai",2.9 /5,500
Delicacy,CV Raman Nagar,"Chinese, Thai, Momos",3.8 /5,500
